position,company,location,overview,deadline,url,job description
Backend Developer - Laravel (Remote full-time job),Creative Handles,Colombo,We are looking for a web developer passionate about technology and striving for excellence. You should be an open-minded person with the ability to learn new things quickly. We are a growing European digital agency. Join the other Sri Lankan people on the board!,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/58881?Sectors=30,"Backend Developer - Laravel (remote full-time job) What we offerRemote full-time job 80 000 - 160 000 LKR based on your experiences and skills Professional education and online coursesProfessional development thanks to cooperation with the teamYou can work from anywhere you want around the worldIn the future, we would like to open offices in ColomboOpportunity to travel and work from our office in the middle of EuropeWhat will you do?You will work on various web apps or web development projects for our clients. Based on your experiences, preferences, and skills you will join the rest of the team to help with front-end or back-end.What skills are required?Good understanding of PHPFluency in OOPExperience with MVCExperience in working with Laravel or similar frameworkExperience in MySQLFluent EnglishWhat skills we would appreciate?HTML,CSS,JavaScript, jQueryAny JavaScript frameworkExperience with GitLab or BitbucketExperience with Project management tool for remote workExperience with PHP StormExperience with setting up serversWorking with a team and a can-do attitudeOpen-minded thinking and high responsibilityPassion to learn new things without worrying that after 5 years we may not use PHP at all. :-)Sounds good? Let's create something awesome together!Send your CV and the reason why you are the best candidate. Looking forward to your e-mails! F&QHow does the development process look like?In the beginning, you are a part of the team discussing how to develop the website or web app. You give feedback to web design. Then there is always one project manager who coordinates tasks and one tester who gives feedback to your work. Do you do code review?Yes, during the development of projects based on our solutions. The base is the Laravel framework.No, if we are creating small WordPress websites.Do you do test-driven development?Unfortunately, we don't. We know that it is our weak spot, but you can help us to build this culture in our company.What if I do not have all the necessary skills yet?Much more important than current skills is your attitude to learning new things and your fit for our company culture. You have to be striving for excellence. That's the attitude we need.Is my opinion important?We always encourage people in our teams to come up with their own opinions and solutions. One of our values is to be open to each other and do not be afraid to suggest new ways or give feedback also to the founders. When do I have to work?It's totally up to you. We expect that you will work 8 hours per day from Monday to Friday. Weekends are free.Where do I have to go to work?With us you can work from everywhere - offices in Colombo, in Prague (Czech Republic), from your home or wherever in the world. In our company people have the freedom to work when and where they want if they are able to catch the deadlines. The important part is that everyone is highly responsible for their tasks. How do I get the tasks?We use a project management tool Active Collab where you will find everything you need.How will we communicate?We have a daily online scrum for 15minutes every working day. Than for communication we use slack, Active Collab and if necessary WhatsApp or Viber.When will you open offices in Colombo?We expect when the number of employees or contractors in Sri Lanka exceeds 5 or 6 people.Do I have time to educate myself?Definitely yes, we will buy courses for you as you wish. Our common goal is your professional and personal development. This is the only way how we can grow as a company together.What should I know about Creative Handles?Our team is spread all around the worldCompany headquarters is based in Prague, Czech Republic - the heart of Europe.We are a free culture company with 10 peopleWe work on various projects, so learning new skills is the key.Please click the APPLY button to send your CV Via XpressJobs"
Senior Tech Lead,Numerra Business Solutions,Colombo,We are looking for the right candidate for our UK based client. Work location will be Colombo. Please refer the advert for further information,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/56810?Sectors=30,"Senior Tech Lead The candidate for this position will play a crucial role indeveloping and providing technical guidance to the team to drive team progressand expand current knowledge and experience in software developmenttechnologies. Responsibilities• Problem-solving, designing, reviewing, and maintaining the architecture of new and existing large-scale enterprise software solutions• Recommend application delivery strategies for enterpriseapplications for clients• Overseeing the full software development life-cycle ofcomplex web and mobile applications• Deliver Projects on time to the client and meet theirexpectations.• Research and explore new technologies to enhance work in progressand assessing the success of them.  Qualifications• Degree in Software Engineering or Equivalent• 8 Years’ experience with a minimum of 3 years as a seniorsoftware engineer or equivalent• Technical minded individual with skills in Microsoftdevelopment stack including ASP Net, SQL, Azure, etc. • Strong ability to refactor code to coherent models and todesign scalable.• Strong oral and written communication skills in EnglishlanguagePlease click the APPLY button to send your CV Via XpressJobs"
Senior Software Engineer - Full Stack,Ideabits,Colombo,Bachelor’s Degree in Computer Science or equivalent qualification in a similar field Minimum hands-on experience of 3-5 year(s) in software development Please refer to the job advert for further information.,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/56257?Sectors=30,"Senior Software Engineer - Full Stack  Duties and Responsibilities  Produce high quality designs by following industry best practices and coding standards Understand business requirements and translate them into technical requirements Communicate directly and effectively with clients   Education and Experience Bachelor’s Degree in Computer Science or equivalent qualification in a similar field Minimum hands-on experience of 3-5 year(s) in software development Expert-level knowledge in ReactJS or Angular 4+ Sound knowledge in .NET or Node.js is a must Sound knowledge in Saga, Axios, NoSQL, Redis, elastic search and GIT Experience in RESTful APIs Sound knowledge in Relational Databases such as MSSQL, MySQL and PostgreSQL and NoSQL databases such as MongoDB Sound knowledge of modern authorization mechanisms, such as JSON Web Token Knowledge in OOP concepts, SOLID principles and, thorough understanding of Design Patterns is a must Experience in technologies such as React Native or mobile development is a plus. Experience in cloud environment and deployment methods such as AWS/Azure is a plus. Experience in AWS Serverless (Lambda functions) is a plus. Experience with CI/CD tools such as AWS/Azure DevOps and Jenkins is a plus. Required Attributes Strong interest in continuously learning and ability to adapt to new technologies  Analytical and problem-solving skills  Ability to lead & mentor a small team  Excellent communication skills  Ability to work both independently and as a part of a team Please click the APPLY button to send your CV Via XpressJobs"
Senior Software Engineer (.Net),Ideabits,Colombo,Bachelor’s Degree in Computer Science or equivalent qualification in a similar field Minimum hands-on experience of 3 - 5 year(s) in software development Please refer to the job advert for further information.,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/56254?Sectors=30,"Senior Software Engineer (.Net)  Duties and Responsibilities  Produce high-quality designs by following industry best practices and coding standards Understand business requirements and translate them into technical requirements Communicate directly and effectively with clients  Education and Experience Bachelor’s Degree in Computer Science or equivalent qualification in a similar field Minimum hands-on experience of 3 - 5 year(s) in software development Expert-level knowledge in the .NET technology stack (.NET core, Entity Framework, C#) Sound knowledge in Relational Databases such as MSSQL, MySQL and PostgreSQL Good knowledge in LINQ and SQL Query optimization Sound knowledge in NoSQL, Redis, and GIT Sound knowledge of modern authorization mechanisms, such as JSON Web Token Knowledge in OOP concepts, SOLID principles and also, a thorough understanding of Design Patterns is a must Knowledge in React, Angular, ES6 is a plus Experience in cloud environments and deployment methods such as AWS/Azure is a plus Experience in AWS Serverless (Lambda functions) is a plus Experience with CI/CD tools such as AWS/Azure DevOps and Jenkins is a plus Required Attributes Strong interest in continuously learning and ability to adapt to new technologies  Analytical and problem-solving skills  Ability to lead & mentor a small team  Excellent communication skills  Ability to work both independently and as a part of a team Please click the APPLY button to send your CV Via XpressJobs"
Executive -MIS & Data Analytics,Bharti Airtel Lanka (Pvt) Ltd,Colombo,Bachelor's Degree in MIS / Statistics / Financial Mathematics or equivalent professional qualification. Please refer to the job advert for further information.,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/55580?Sectors=30,"Marketing-MIS teamJOB PROFILEExposure to company-related business intelligence related to MIS, reporting and data analytics. Database management.CANDIDATE PROFILEBachelor's Degree in MIS / Statistics / Financial Mathematics or equivalent professional qualification. Highly fluent knowledge in SQL, MS Access, and advanced MS Excel will be an added advantage. VBA programming will be optional. At least 3 years of professional expertise in operating SQL and data analysis.Excellent interpersonal skills to be able to interact with cross-functional teams.Please click the APPLY button to send your CV Via XpressJobs"
Software Engineer (Full stack .NET),Data Capture Experts Pty Ltd,Colombo,"Min 2 years of hands experience in design and development of data-driven applications with C#, .NET Core, Angular, ASP.NET MVC, Web API. Please refer to the job advert for further information.",Expires on 04/05/2020,https://xpress.jobs/Jobs/View/52911?Sectors=30,"Software Engineer (Full-Stack .NET)Our next generation cloud platform is in the process of being developed by some of the most talented software developers. As part of this, we're growing the team and we're looking for another smart & passionate full stack software engineer to come on board.So, if you're looking for a role where you can do interesting, challenging work with amazing people – we're the place for you.About youYou’re a Full Stack Developer with 2 years’ experience in the industry.Have a strong background and experience in Full Stack development and its related areas of expertise from design, development of solutions to deployment and maintenance. You're a team-player, a thinker and a doer.Technical CriteriaMust have:C#, ASP.NET MVC, Web APIHTML, Bootstrap, CSS and JavaScriptAngular 6+T-SQLNice to have:Angular Material / Ionic Framework.NET CoreSelection CriteriaDemonstrated experience in Technical Criteria (listed above)Great communication and relationship skillsCreative and effective problem-solving skillsAbility to work as part of a team and autonomously, taking responsibility and ownership for your work.As part of the team, you’ll receive attractive salary package with ongoing training & enjoy being part of a close-knit, friendly team of professionals.For further information or to arrange a confidential discussion, please send your CV through XpressJobs"
Senior Software Engineer (.NET),Data Capture Experts Pty Ltd,Colombo,"Min 4 years of hands experience in design and development of data-driven applications with C#, .NET Core, Angular 6+, ASP.NET MVC, Web API. Please refer to the job advert for further information.",Expires on 04/05/2020,https://xpress.jobs/Jobs/View/52884?Sectors=30,"Senior Software Engineer (Full stack .NET)Our next generation cloud platform is in the process of being developed by some of the most talented software developers. As part of this, we're growing the team and we're looking for another smart & passionate full stack software engineer to come on board.So, if you're looking for a role where you can do interesting, challenging work with amazing people – we're the place for you.About youYou’re a Full Stack Developer with 4 years’ experience in the industry.Have a strong background and experience in Full Stack development and its related areas of expertise from design, development of solutions to deployment and maintenance. You're a team-player, a thinker and a doer.Technical CriteriaMust have:C#, ASP.NET MVC, Web APIHTML, Bootstrap, CSS and JavaScriptAngular 6+T-SQLNice to have:Angular Material / Ionic Framework.NET CoreSelection CriteriaDemonstrated experience in Technical Criteria (listed above)Great communication and relationship skillsCreative and effective problem-solving skillsAbility to work as part of a team and autonomously, taking responsibility and ownership for your work.As part of the team, you’ll receive attractive salary package with ongoing training & enjoy being part of a close-knit, friendly team of professionals.For further information or to arrange a confidential discussion, please send your CV through XpressJobs"
Front-end developer / coder (Remote Full-Time),Creative Handles,Colombo,"We are looking for a front-end developer who likes to convert graphic design into a fully functional project, not afraid of challenges and has a feeling for details.",Expires on 04/05/2020,https://xpress.jobs/Jobs/View/58734?Sectors=30,"Front-end developer/coder (Remote Full-Time)We are looking for a front-end developer who likes to convert graphic design into a fully functional project, not afraid of challenges and has a feeling for details.We are a growing European software agency. Join the other Sri Lankan people on the board! What we offer:Remote full-time job 80 000 - 160 000 LKR based on your experiences and skills Professional education and online coursesProfessional development thanks to cooperation with the team You can work from anywhere you want around the worldIn the future, we would like to open offices in ColomboOpportunity to travel and work from our office in the middle of EuropeWhat will you do?Your job is coding templates according to graphic designs or modifying already completed templates and their deployment to the front-end. Of course, there is also the implementation of effects, linking to the back-end (retrieving data) and setting up complete rules (indexing, permissions, etc.)What skills are required?HTML 5CSS 3SASSJavascript / jQueryGITMySQL databaseFluent EnglishWhat skills would we appreciate?Experience with GitLab or BitbucketBasic knowledge of PHPBasic knowledge of CSS FlexboxBasic knowledge of package managers (NPM, COMPOSER)Feeling for designWorking with team experiencesOpen-minded thinking and high responsibilitySounds good? Let's create something awesome together!Please click the APPLY button to send your CV Via XpressJobs____F&QHow does the development process look like?In the beginning, you are a part of the team discussing how to develop the website or web app. You give feedback to web design. Then there is always one project manager who coordinates tasks and one tester who gives feedback to your work. What if I do not have all the necessary skills yet?Much more important than current skills is your attitude to learning new things and your fit to our company culture. You have to be striving for excellence. That's the attitude we need.Is my opinion important?We always encourage people in our teams to come up with their own opinions and solutions. One of our values is to be open to each other and do not be afraid to suggest new ways or give feedback also to the founders. When do I have to work?It's totally up to you. We expect that you will work 8 hours per day from Monday to Friday. Weekends are free.Where do I have to go to work?With us you can work from everywhere - offices in Colombo, in Prague (Czech Republic), from your home or wherever in the world. In our company people have the freedom to work when and where they want if they are able to catch the deadlines. The important part is that everyone is highly responsible for their tasks. How do I get the tasks?We use a project management tool Active Collab where you will find everything you need.How will we communicate?We have a daily online scrum for 15minutes every working day. Than for communication we use slack, Active Collab and if necessary WhatsApp or Viber.When will you open offices in Colombo?We expect when the number of employees or contractors in Sri Lanka exceeds 5 or 6 people..Do I have time to educate myself?Definitely yes, we will buy courses for you as you wish. Our common goal is your professional and personal development. This is the only way how we can grow as a company together.What should I know about Creative Handles?Our team is spread all around the worldCompany headquarters is based in Prague, Czech Republic - the heart of Europe.We are a free culture company with 10 peopleWe work on various projects, so learning new skills is the key.Please click the APPLY button to send your CV via XpressJobs"
Frontend Engineer (React JS),Concon Solutions (Pvt) Ltd,Colombo,"3+ years of experience Expertise in HTML, CSS, and Javascript, Specifically ReactJS and APP architectures like Redux Please refer to the job advert for further information.",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58681?Sectors=30,"Frontend DeveloperWe always believe in creating unique and one of a kind UI/UX. If you think you have what it takes to create next-level interfaces join us.Frontend Engineer (React JS)3+ years of experienceExpertise IN HTML, CSS, and Javascript, Specifically ReactJS and APP architectures like ReduxKnowledge of modern web browser internals including history, Pop/Push-State, LocalStorage, etc. Knowledge of rest principles and experience working with backend API services Experience writing unit and integration tests o knowledge in Reactive Native / React JS / Laravel will be additional.Good knowledge of AWS servicesKnowledge of computer science fundamentals: object-oriented and/or functional programming, design and asynchronous and event-driven developmentAn attractive remuneration package awaits the right candidate with a fantastic opportunity for career growth.Please click the APPLY button to send your CV Via XpressJobs"
Software Developers - React Native / WordPress,Mindful Travels,Colombo,Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/55963?Sectors=30,React Native / PythonAt Mindful (Pvt) Ltd. we help people find buddies to join group experiences and share expenses. Our mobile app is currently under development and is at version 0.9. Our website: https://mindfultravels.net/landing/Our Instagram: https://www.instagram.com/mindful.travels/We are working with an agency to develop our platform and want to move to an in-house team with a more agile approach to development. Your key responsibility would be to build new feature sets for the React Native application along with improving our website to mirror the mobile application. Key skills - React / React Native - Experience developing rest API's (preferably python / Django) - 2+ years working on commercial applications - Experience in deploying software applications - Experience with Redux Nice to have- Experience leading a team junior developers - Fluent in written and spoken English Please click the APPLY button to send your CV through XpressJobs
Code Igniter and VUE Expert Developers,Bioelite Vert,Colombo,We are looking for an experienced full stack Code Igniter/Vue developer that will work from home. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/55962?Sectors=30,"Code Igniter and VUE Expert DevelopersHello! Bioelite Vert is hiring again!This is a full-time job (8h a day)! We are not interested to work project based!We are looking for a new colleague to join our team:Requirements:Excellent knowledge of OOP PHP and Code Igniter FrameworkMin 1 year experience with VUE frameworkGood knowledge of Node JS, Facebook APIAble to optimize MySql queriesGood knowledge of HTML and CSS, including HTML5 and CSS3Writes clean and logical markupFamiliar with cross-browser compatibility issuesFamiliar with JQueryThe ideal candidate should have:Good English levelsKnow how to communicate ideasPassion for software developmentProactive and with a critical sensePassion for learningAbility to resolve challenging tasksSense of humorYou must work in Bucharest timezone from 10:00 to 19:00 o'clock Monday to Friday. You will work from home.Please click the APPLY button to upload your CV via XpressJobs"
Software Engineer,LAH Business Processing,Colombo,Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/53936?Sectors=30,"We are looking for aSoftware Engineer LAH Business Processing (PVT) Ltd is a leading travel portal development and mobility solutions company, delivering B2B/B2C travel software, travel CRM, accounting software and mobility solutions to global travel & hospitality companies. We are looking for energetic, highly motivated and dynamic individuals with pleassing personality to join our team.Degree in Computer Science, Information Technology or equivalentMinimum 2 yrs industry experience in web application developmentKnowledge in Web API C#.NET and SOAFamiliarity with HTML5 / CSS3 / JavaScript / AngularJSSound knowledge in Dot Net / Dot Net Core Framework, ASP.NET/ASP.NET Core, Entity Framework/ Microsoft SQL Server/ SOAP / XMLKnowledge in object oriented concepts and design patternsExperience in sprint framworkExperienced in Travel Agency / Tourism Sector will be added advantageAbility to work in a team with good leadership qualitiesPlease click the APPLY button to send your CV through XpressJobs"
